Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
被,34987,被,34987,bèi,3,154,268905,50.33303753
鼻,40763,鼻,40763,bí,3,1335,17773,93.21663285
较,36739,較,36611,jiào/jué/xiào,3,491,82870,75.42124784
赛,36187,賽,36093,sài,3,1064,27472,90.11273554
记,35760,記,35352,jì/ji,3,306,139501,65.08164756
必,24517,必,24517,bì,3,248,174963,60.40860557
须,39035,須,38920,xū,3,444,94903,73.27914504
变,21464,變,35722,biàn,3,225,185121,58.2590714
化,21270,化,21270,huà/huā/huò,3,178,224729,53.39229183
冰,20912,冰,20912,bīng/níng,3,1070,27201,90.1974051
箱,31665,箱,31665,xiāng,3,1453,14913,94.20470845
而,32780,而,32780,ér/néng,3,36,649239,26.16427427
且,19988,且,19988,qiě/jū/cú,3,296,144597,64.34362257
单,21333,單,21934,dān/dǎn/chán/shàn/chǎn/dàn/zhàn/tán,3,389,109359,70.39215279
参,21442,參,21443,cān/shēn/sān/cēn/càn/sǎn,3,507,80663,76.09962187
加,21152,加,21152,jiā,3,166,243648,51.93104414
草,33609,草,33609,cǎo,3,789,44612,85.03743111
层,23618,層,23652,céng,3,699,53705,82.74579136
差,24046,差,24046,chà,3,732,50349,83.63348042
超,36229,超,36229,chāo/chǎo/chào/tiào,3,754,48218,84.19404707
市,24066,市,24066,shì,3,254,169522,60.94014492
衬,34924,襯,35183,chèn,3,2502,3700,98.48162274
衫,34923,衫,34923,shān,3,2153,5802,97.63425429
成,25104,成,25104,chéng/cheng,3,59,499007,32.91971384
绩,32489,績,32318,jì,3,1547,12789,94.87875544
城,22478,城,22478,chéng,3,413,102833,71.7037085
迟,36831,遲,36978,chí/zhì,3,1374,16808,93.56649845
除,38500,除,38500,chú/zhù/shū,3,464,89272,74.22481222
船,33337,船,33337,chuán,3,614,65883,80.11960403
春,26149,春,26149,chūn,3,921,36027,87.77213195
词,35789,詞,35422,cí,3,959,33669,88.45514722
典,20856,典,20856,diǎn/tiǎn,3,1044,28860,89.82183202
聪,32874,聰,32880,cōng,3,1669,10863,95.62078344
扫,25195,掃,25475,sǎo/sào,3,1435,15140,94.06498784
算,31639,算,31639,suàn/suan,3,403,105293,71.16797957
带,24102,帶,24118,dài,3,342,124619,67.54688732
担,25285,擔,25812,dān/dàn/dan/shàn,3,720,51792,83.31773349
心,24515,心,24515,xīn/xin,3,90,392228,39.82795592
糕,31957,糕,31957,gāo,3,2413,4142,98.3020766
当,24403,當,30070,dāng/dàng/dang,3,71,429274,35.77782245
地,22320,地,22320,"dì, de",3,21,969349,20.22369169
灯,28783,燈,29128,dēng,3,1115,25401,90.80600848
铁,38081,鐵,37941,tiě/dié,3,779,45798,84.80330677
图,22270,圖,22294,tú,3,476,85957,74.76545267
梯,26799,梯,26799,tī/tí,3,1672,10738,95.63751539
邮,37038,郵,37109,yóu/chuí,3,1652,11137,95.52437821
冬,20908,冬,20908,dōng,3,1384,16368,93.65231372
物,29289,物,29289,wù/wu,3,142,281146,48.63490587
短,30701,短,30701,duǎn,3,889,37834,87.16262626
段,27573,段,27573,duàn,3,567,71172,78.45866591
锻,38203,鍛,37723,duàn,3,2531,3596,98.53634926
炼,28860,煉,29001,liàn/làn,3,1763,9528,96.11439851
饿,39295,餓,39187,è,3,1911,7992,96.77995369
耳,32819,耳,32819,ěr/réng,3,887,37939,87.12348908
朵,26421,朵,26421,duo/duǒ,3,1571,12435,95.03515839
发,21457,發,30332,"fā, fà",3,47,572904,29.66461864
烧,28903,燒,29138,shāo/shào,3,1201,22078,91.8605809
放,25918,放,25918,fàng,3,291,147600,63.96760506
附,38468,附,38468,fù/bù/fū,3,923,35955,87.80933014
复,22797,復,24489,fù,3,426,98822,72.37753637
复,22797,複,35079,fù/fú,4,426,98822,72.37753637
干,24178,干,24178,gàn/gān/àn,3,353,120564,68.24160675
干,24178,幹,24185,gàn/gān/hán/guǎn,4,353,120564,68.24160675
净,20928,淨,28136,jìng/chéng,3,1377,16751,93.59247827
感,24863,感,24863,gǎn/hàn,3,243,178383,59.95363311
冒,20882,冒,20882,mào/mò,3,1222,20917,92.09217247
趣,36259,趣,36259,qù/cù/qū/cǒu/zōu,3,1065,27434,90.12691302
刚,21018,剛,21083,gāng,3,621,64622,80.3549826
才,25165,才,25165,cái/cai/zāi,3,235,181725,59.20775609
根,26681,根,26681,gēn,3,352,120778,68.17930106
据,25454,據,25818,jù,3,313,137990,65.58235034
跟,36319,跟,36319,gēn,3,541,75958,77.47257476
更,26356,更,26356,gèng,3,221,187378,57.87505405
斤,26020,斤,26020,jīn,3,1866,8365,96.58940312
园,22253,園,22290,yuán,3,988,31925,88.94524609
故,25925,故,25925,gù,3,572,70067,78.64067298
刮,21038,刮,21038,guā,3,2350,4565,98.16095033
风,39118,風,39080,fēng/fèng/fěng,3,348,121803,67.92919514
于,20110,於,26044,wū/yú,3,40,630524,27.47711006
于,20110,于,20110,yú/wéi/yū/xū,4,40,630524,27.47711006
害,23475,害,23475,hài/hai/hé,3,579,69462,78.89261917
怕,24597,怕,24597,pà/bó,3,631,63520,80.68645376
板,26495,板,26495,bǎn,3,930,35332,87.93794866
护,25252,護,35703,hù,3,529,76993,76.99879286
照,29031,照,29031,zhào,3,443,95020,73.23010058
花,33457,花,33457,huā,3,410,103367,71.54394127
画,30011,畫,30059,huà,3,883,38263,87.04488968
坏,22351,壞,22750,huài,3,832,41723,85.99492596
迎,36814,迎,36814,yíng/yìng,3,1069,27228,90.18334803
环,29615,環,29872,huán/huàn,3,681,55971,82.23621589
境,22659,境,22659,jìng,3,582,69360,79.00024278
换,25442,換,25563,huàn,3,824,42292,85.82158692
黄,40644,黃,40643,huáng,3,561,72199,78.23656923
河,27827,河,27827,hé,3,574,69687,78.71285288
答,31572,答,31572,dá/dā,3,559,72421,78.16189429
